,frame,time_s,active_player,helper_player,passive_player,left_score,time_score,right_score
0,28,0.9333333333333332,N1taro,,nia,0,01:52,0
0,31,1.0333333333333334,packoo,,cosmos,0,01:49,0
0,55,1.8333333333333333,zlewis,,Jumper,0,01:25,0
0,70,2.333333333333333,packoo,,v1ZUAL,0,01:10,0
0,95,3.1666666666666665,darzyy,zlewis,cLouding,0,00:45,0
0,96,3.2,zlewis,,packoo,0,00:44,0
0,96,3.2,packoo,,N1taro,0,00:44,0
0,96,3.2,zlewis,,cLouding,0,00:44,0
0,97,3.2333333333333334,ww fANT1M,,darzyy,0,00:43,0
0,176,5.866666666666666,zlewis,,packoo,1,01:30,0
0,177,5.9,cosmos,,ww fANT1M,1,01:29,0
0,182,6.066666666666666,Jumper,,N1taro,1,01:24,0
0,195,6.5,Jumper,,cosmos,1,01:11,0
0,217,7.233333333333333,Jumper,,nia,1,00:49,0
0,221,7.366666666666666,nia,,v1ZUAL,1,00:45,0
0,268,8.933333333333334,cLouding,,zlewis,1,59:58,0
0,268,8.933333333333334,cLouding,,darzyy,1,59:58,0
0,327,10.9,N1taro,,nia,1,01:29,0
0,380,12.666666666666666,darzyy,,cLouding,1,00:36,0
0,394,13.133333333333333,ww fANT1M,,cosmos,1,00:22,0
0,406,13.533333333333331,N1taro,,Jumper,1,00:10,0
0,412,13.733333333333333,darzyy,,cosmos,1,00:04,0
0,421,14.033333333333331,packoo,,N1taro,1,59:55,0
0,425,14.166666666666666,Jumper,,darzyy,1,59:51,0
0,428,14.266666666666667,packoo,Jumper,darzyy,1,59:48,0
0,481,16.033333333333335,nia,,darzyy,2,01:45,0
0,481,16.033333333333335,darzyy,,Jumper,2,01:45,0
0,502,16.733333333333334,nia,,zlewis,2,01:24,0
0,543,18.1,N1taro,,packoo,2,00:43,0
0,591,19.7,N1taro,,cLouding,3,01:50,0
0,598,19.933333333333334,N1taro,,packoo,3,01:43,0
0,601,20.03333333333333,ww fANT1M,Jumper,N1taro,3,01:40,0
0,601,20.03333333333333,nia,,darzyy,3,01:40,0
0,601,20.03333333333333,N1taro,,Jumper,3,01:40,0
0,647,21.566666666666663,nia,,v1ZUAL,3,00:54,0
0,648,21.6,zlewis,,nia,3,00:53,0
0,649,21.633333333333333,zlewis,,nia,4,00:53,0
0,709,23.633333333333333,ww fANT1M,,cosmos,4,01:29,4
0,719,23.966666666666665,N1taro,,packoo,4,01:19,1
0,736,24.53333333333333,nia,,darzyy,4,01:02,1
0,752,25.066666666666663,darzyy,,nia,4,00:46,1
0,752,25.066666666666663,N1taro,,ww fANT1M,4,00:46,1
0,807,26.9,nia,,darzyy,5,01:43,1
0,812,27.066666666666663,packoo,,cosmos,5,01:38,1
0,841,28.03333333333333,cLouding,,N1taro,5,01:09,1
0,868,28.933333333333334,zlewis,,nia,5,00:42,1
0,877,29.23333333333333,zlewis,,Jumper,5,00:33,1
0,883,29.433333333333334,N1taro,,cLouding,5,00:44,1
0,961,32.03333333333333,zlewis,,packoo,6,01:22,1
0,978,32.6,zlewis,,Jumper,6,01:05,1
0,1000,33.333333333333336,nia,,cosmos,6,00:43,1
0,1031,34.36666666666667,nia,,darzyy,6,00:12,1
0,1032,34.4,nia,,zlewis,6,00:11,1
0,1072,35.733333333333334,N1taro,,cLouding,6,01:49,2
0,1087,36.23333333333333,Jumper,,cosmos,6,01:34,2
0,1090,36.333333333333336,ww fANT1M,,zlewis,6,01:31,2
0,1114,37.13333333333333,N1taro,,Jumper,6,01:08,2
0,1115,37.16666666666666,ww fANT1M,,N1taro,6,01:07,2
0,1198,39.93333333333333,nia,,darzyy,6,01:18,3
0,1207,40.23333333333333,cosmos,,Jumper,6,01:09,3
0,1209,40.3,Jumper,,cosmos,6,01:07,3
0,1210,40.333333333333336,cLouding,Jumper,cosmos,6,01:06,3
0,1217,40.56666666666667,packoo,,v1ZUAL,6,00:59,3
0,1309,43.63333333333333,zlewis,,Jumper,6,00:58,4
0,1321,44.03333333333333,cosmos,,packoo,6,00:46,4
0,1330,44.333333333333336,nia,ww fANT1M,N1taro,6,00:37,4
0,1331,44.36666666666667,ww fANT1M,,N1taro,6,00:36,4
0,1360,45.333333333333336,cLouding,,cosmos,6,00:06,4
0,1419,47.3,cosmos,,Jumper,7,01:39,4
0,1420,47.333333333333336,cosmos,,packoo,7,01:38,4
0,1429,47.63333333333333,cosmos,,nia,7,01:29,4
0,1500,50.0,N1taro,,Jumper,4,01:34,8
0,1514,50.46666666666667,cLouding,,N1taro,4,01:20,8
0,1518,50.6,zlewis,,packoo,4,01:23,8
0,1519,50.63333333333333,darzyy,,cLouding,4,01:22,8
0,1519,50.63333333333333,darzyy,,packoo,4,01:22,8
0,1568,52.266666666666666,N1taro,,nia,4,01:38,9
0,1591,53.03333333333333,cosmos,,packoo,4,01:15,9
0,1595,53.16666666666666,v1ZUAL,,cLouding,4,01:11,9
0,1660,55.333333333333336,Jumper,,cosmos,4,01:43,10
0,1660,55.333333333333336,cosmos,,nia,4,01:43,10
0,1662,55.4,Jumper,,darzyy,4,01:41,10
0,1664,55.46666666666667,cLouding,,Jumper,4,01:39,10
0,1666,55.53333333333333,cLouding,,darzyy,4,01:37,10
0,1667,55.56666666666667,zlewis,,packoo,4,01:36,10
0,1675,55.833333333333336,zlewis,,Jumper,4,01:28,10
0,1698,56.6,N1taro,,ww fANT1M,4,01:05,10
0,1779,59.3,cLouding,,N1taro,4,01:11,11
0,1783,59.43333333333333,packoo,,darzyy,4,01:07,11
0,1783,59.43333333333333,cLouding,,zlewis,4,01:07,11
0,1786,59.53333333333333,cLouding,,cosmos,4,01:04,11
0,1786,59.53333333333333,cLouding,,packoo,4,01:04,11
0,1789,59.63333333333333,cLouding,,cosmos,5,01:02,11
0,1840,61.333333333333336,cosmos,,Jumper,5,01:38,11
0,1848,61.6,Jumper,,cosmos,5,01:30,11
0,1864,62.13333333333333,nia,,darzyy,5,01:14,11
0,1867,62.23333333333333,N1taro,,nia,5,01:11,11
0,1878,62.6,packoo,,N1taro,5,01:00,11
0,1878,62.6,zlewis,,packoo,5,01:00,11
0,1879,62.63333333333333,zlewis,,cLouding,5,00:59,11
0,1880,62.66666666666666,cLouding,,zlewis,5,00:58,11
0,2015,67.16666666666667,nia,,cosmos,6,00:48,11
0,2027,67.56666666666666,darzyy,,packoo,6,00:36,11
0,2029,67.63333333333334,zlewis,,nia,6,00:34,11
0,2043,68.1,ww fANT1M,,Jumper,6,00:20,11
0,2047,68.23333333333333,Jumper,,v1ZUAL,6,00:16,11
0,2127,70.9,Jumper,,cosmos,7,01:14,11
0,2130,71.0,nia,,N1taro,7,01:11,11
0,2137,71.23333333333333,nia,,darzyy,7,01:04,11
0,2137,71.23333333333333,Jumper,ww fANT1M,zlewis,7,01:04,11
0,2222,74.06666666666666,packoo,,cosmos,8,01:19,11
0,2277,75.9,v1ZUAL,,Jumper,8,00:24,11
0,2278,75.93333333333334,nia,,darzyy,8,00:23,11
0,2339,77.96666666666667,packoo,,N1taro,9,01:53,11
0,2344,78.13333333333334,packoo,,cosmos,9,01:48,11
0,2345,78.16666666666667,zlewis,,nia,9,01:47,11
0,2401,80.03333333333333,packoo,,zlewis,9,00:51,11
0,2405,80.16666666666667,darzyy,,cLouding,9,00:47,11
0,2405,80.16666666666667,cLouding,,Jumper,9,00:47,11
0,2406,80.2,Jumper,,cLouding,9,00:46,11
0,2406,80.2,cLouding,Jumper,darzyy,9,00:46,11
0,2500,83.33333333333333,N1taro,,v1ZUAL,10,01:05,11
0,2501,83.36666666666666,v1ZUAL,,nia,10,01:04,11
0,2526,84.2,cLouding,,ww fANT1M,10,00:39,11
0,2531,84.36666666666666,darzyy,,packoo,10,00:46,11
0,2542,84.73333333333333,cosmos,,cLouding,10,00:38,12
0,2579,85.96666666666667,cosmos,,Jumper,10,01:53,12
0,2615,87.16666666666667,N1taro,,ww fANT1M,10,01:17,12
0,2621,87.36666666666666,nia,,cosmos,10,01:11,12
0,2624,87.46666666666667,nia,,N1taro,10,01:08,12
0,2677,89.23333333333333,packoo,,darzyy,10,00:15,12
0,2682,89.4,cLouding,,v1ZUAL,10,00:10,12
0,2689,89.63333333333334,zlewis,,cLouding,10,00:03,13
